session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.75,0.75,0.99,-1,-1
1,B,10,8,0.85,0.77,0.99,10,8
2,B,8,5,0.82,0.55,0.98,8,5
3,B,10,6,0.82,0.55,0.99,10,6
4,A,10,10,0.9,0.54,0.99,10,5
5,A,10,10,0.91,0.5,0.99,10,7
6,A,10,8,0.82,0.5,0.99,8,5
7,A,10,9,0.88,0.5,0.99,9,8
8,A,10,9,0.89,0.37,0.99,9,3
9,B,10,7,0.89,0.66,0.99,9,7
10,B,10,7,0.9,0.71,0.99,10,7
11,B,10,7,0.9,0.71,0.98,10,7
12,A,10,9,0.9,0.5,0.95,9,5
13,B,10,7,0.9,0.7,0.9,9,7
14,B,10,5,0.9,0.5,0.99,9,5
15,B,9,8,0.9,0.72,0.99,10,8
